57100.641093999999 4.5e-05 0.03519406238 0 1 2
57100.641138999999 4.5e-05 0.03519353885 0 1 2
57100.641184 4.5e-05 0.03519308529 0 1 2
57100.641228 4.5e-05 0.03519269318 0 1 2
57100.641273000001 4.5e-05 0.03519229639 0 1 2
57100.641318000002 4.5e-05 0.03519186313 0 1 2
57100.641363000002 4.5e-05 0.03519146287 0 1 2
57100.641407000003 4.5e-05 0.03519111386 0 1 2
57100.641452000003 4.5e-05 0.03519068862 0 1 2
57100.641496999997 4.5e-05 0.03519031274 0 1 2
57100.641541999998 4.5e-05 0.03519003018 0 1 2
57100.641585999998 4.5e-05 0.03518970196 0 1 2
57100.641630999999 4.5e-05 0.03518926091 0 1 2
57100.641675999999 4.5e-05 0.03518887622 0 1 2
57100.641721 4.5e-05 0.03518859545 0 1 2
57100.641765 4.5e-05 0.03518824751 0 1 2
57100.641810000001 4.5e-05 0.03508708564 0 1 2
57100.641855000002 4.5e-05 0.03397685551 0 1 2
57100.641900000002 4.5e-05 0.0314159752 0 1 2
57100.641944000003 4.5e-05 0.0280566655 0 1 2
57100.641989000003 4.5e-05 0.02414025272 0 1 2
57100.642033999997 4.5e-05 0.019988743 0 1 2
57100.642078999997 4.5e-05 0.01580377029 0 1 2
57100.642122999998 4.5e-05 0.01190932907 0 1 2
57100.642167999998 4.5e-05 0.008279220991 0 1 2
57100.642212999999 4.5e-05 0.005159098895 0 1 2
57100.642258 4.5e-05 0.002715855903 0 1 2
57100.642302 4.5e-05 0.001247448132 0 1 2
57100.642347000001 4.5e-05 0.0007609839159 0 1 2
57100.642392000002 4.5e-05 0.0007607769478 0 1 2
57100.642437000002 4.5e-05 0.0007605854072 0 1 2
57100.642481000003 4.5e-05 0.0007604070439 0 1 2
57100.642526000003 4.5e-05 0.0007602323666 0 1 2
57100.642570999997 4.5e-05 0.0007600649361 0 1 2
57100.642615999997 4.5e-05 0.0007599024638 0 1 2
57100.642659999998 4.5e-05 0.0007597453221 0 1 2
57100.642704999998 4.5e-05 0.0007595889811 0 1 2
57100.642749999999 4.5e-05 0.0007594438635 0 1 2
57100.642795 4.5e-05 0.0007593097106 0 1 2
57100.642839 4.5e-05 0.000759187495 0 0 2
57100.642884000001 4.5e-05 0.0007590784381 0 1 2
57100.642929000001 4.5e-05 0.0007589822067 0 1 2
57100.642974000002 4.5e-05 0.0007588957737 0 1 2
57100.643018000002 4.5e-05 0.0007588231431 0 1 2
57100.643063000003 4.5e-05 0.0007587633636 0 1 2
57100.643107999997 4.5e-05 0.0007587171599 0 1 2
57100.643152999997 4.5e-05 0.000758678583 0 1 2
57100.643196999998 4.5e-05 0.0007586474617 0 1 2
57100.643241999998 4.5e-05 0.0007586253862 0 1 2
57100.643286999999 4.5e-05 0.0007586151648 0 1 2
57100.643332 4.5e-05 0.0007586104274 0 1 2
57100.643376 4.5e-05 0.0007586134663 0 1 2
57100.643421000001 4.5e-05 0.0007586278801 0 1 2
57100.643466000001 4.5e-05 0.0007586502353 0 1 2
57100.643511000002 4.5e-05 0.0007586797719 0 1 2
57100.643555000002 4.5e-05 0.0007587185862 0 1 2
57100.643600000003 4.5e-05 0.0007587733591 0 1 2
